 Year  Annual_Mean 5-year_Mean
 1880     -0.57        NA
 1881     -0.54        NA
 1882     -0.46     -0.56
 1883     -0.48     -0.57
 1884     -0.76     -0.61
 1885     -0.61     -0.68
 1886     -0.75     -0.70
 1887     -0.81     -0.62
 1888     -0.58     -0.63
 1889     -0.33     -0.61
 1890     -0.68     -0.57
 1891     -0.68     -0.57
 1892     -0.57     -0.61
 1893     -0.61     -0.56
 1894     -0.51     -0.50
 1895     -0.44     -0.45
 1896     -0.39     -0.42
 1897     -0.30     -0.39
 1898     -0.46     -0.34
 1899     -0.37     -0.30
 1900     -0.18     -0.31
 1901     -0.17     -0.31
 1902     -0.38     -0.35
 1903     -0.47     -0.40
 1904     -0.58     -0.43
 1905     -0.41     -0.47
 1906     -0.30     -0.46
 1907     -0.58     -0.44
 1908     -0.43     -0.43
 1909     -0.47     -0.45
 1910     -0.38     -0.42
 1911     -0.41     -0.41
 1912     -0.39     -0.34
 1913     -0.37     -0.28
 1914     -0.12     -0.27
 1915     -0.12     -0.30
 1916     -0.34     -0.31
 1917     -0.55     -0.33
 1918     -0.45     -0.37
 1919     -0.21     -0.34
 1920     -0.31     -0.29
 1921     -0.19     -0.26
 1922     -0.27     -0.26
 1923     -0.29     -0.26
 1924     -0.25     -0.24
 1925     -0.29     -0.22
 1926     -0.07     -0.19
 1927     -0.21     -0.22
 1928     -0.14     -0.20
 1929     -0.37     -0.20
 1930     -0.19     -0.19
 1931     -0.11     -0.21
 1932     -0.13     -0.16
 1933     -0.25     -0.17
 1934     -0.12     -0.17
 1935     -0.24     -0.15
 1936     -0.11     -0.09
 1937     -0.01     -0.09
 1938      0.05     -0.03
 1939     -0.12     -0.00
 1940      0.06      0.01
 1941      0.01     -0.01
 1942      0.03      0.02
 1943     -0.02     -0.01
 1944      0.03     -0.03
 1945     -0.10     -0.03
 1946     -0.08     -0.04
 1947      0.04     -0.07
 1948     -0.10     -0.10
 1949     -0.14     -0.10
 1950     -0.23     -0.11
 1951     -0.08     -0.08
 1952     -0.03     -0.08
 1953      0.06     -0.06
 1954     -0.14     -0.09
 1955     -0.11     -0.08
 1956     -0.22     -0.08
 1957      0.03     -0.04
 1958      0.06     -0.03
 1959      0.04      0.03
 1960     -0.03      0.03
 1961      0.08      0.02
 1962      0.01     -0.04
 1963      0.01     -0.07
 1964     -0.26     -0.09
 1965     -0.17     -0.10
 1966     -0.07     -0.12
 1967     -0.02     -0.07
 1968     -0.10     -0.02
 1969      0.01     -0.03
 1970      0.06     -0.03
 1971     -0.08      0.04
 1972     -0.03      0.03
 1973      0.22      0.02
 1974     -0.03      0.01
 1975      0.03      0.06
 1976     -0.17      0.04
 1977      0.22      0.08
 1978      0.14      0.15
 1979      0.20      0.27
 1980      0.35      0.25
 1981      0.44      0.30
 1982      0.14      0.31
 1983      0.39      0.28
 1984      0.22      0.24
 1985      0.21      0.30
 1986      0.26      0.32
 1987      0.42      0.35
 1988      0.50      0.41
 1989      0.38      0.47
 1990      0.52      0.43
 1991      0.51      0.38
 1992      0.23      0.38
 1993      0.27      0.39
 1994      0.38      0.38
 1995      0.56      0.44
 1996      0.47      0.56
 1997      0.53      0.60
 1998      0.84      0.60
 1999      0.60      0.65
 2000      0.58      0.70
 2001      0.68      0.68
 2002      0.79      0.70
 2003      0.77      0.76
 2004      0.68      0.78
 2005      0.88      0.79
 2006      0.78      0.77
 2007      0.86      0.79
 2008      0.65      0.80
 2009      0.80      0.80
 2010      0.92      0.78
 2011      0.79      0.82
 2012      0.77      0.83
 2013      0.82        NA
 2014      0.87        NA
