Name,Score
Jordan Spieth,275
Louis Oosthuizen,276
Dustin Johnson,276
Adam Scott,277
Cameron Smith,277
Branden Grace,277
Charl Schwartzel,278
Brandt Snedeker,279
Rory McIlroy,280
Shane Lowry,280
Jason Day,280
Kevin Kisner,281
Matt Kuchar,281
John Senden,282
Patrick Reed,282
Tony Finau,282
Andres Romero,282
Geoff Ogilvy,283
Sergio Garcia,283
Brooks Koepka,283
Jamie Lovemark,283
Jason Dufner,283
Hideki Matsuyama,283
Charlie Beljan,283
Thomas Aiken,284
Billy Horschel,284
Morgan Hoffmann,285
Brian Campbell (a),285
Tommy Fleetwood,285
Keegan Bradley,285
Daniel Summerhays,285
Jimmy Gunn,285
Justin Rose,285
Marc Warren,285
Francesco Molinari,285
Alexander Levy,285
Henrik Stenson,285
J.B. Holmes,285
Troy Kelly,286
Paul Casey,286
Joost Luiten,286
Robert Streb,287
Jim Furyk,287
Denny McCarthy (a),287
Ollie Schniederjans (a),287
Kevin Chappell,288
Brad Fritsch,288
Webb Simpson,288
Kevin Na,288
Sam Saunders,289
Lee Westwood,289
Nick Hardy (a),290
Ryan Palmer,290
Ernie Els,291
Mark Silvers,291
Cameron Tringale,291
Ian Poulter,291
D.A. Points,292
Brad Elder,292
Luke Donald,292
Jimmy Walker,292
Beau Hossler (a),292
Jack Maguire (a),292
Ben Martin,293
Phil Mickelson,293
Marcus Fraser,293
Cheng-Tsung Pan,293
Angel Cabrera,293
Colin Montgomerie,293
Andy Pope,294
George Coetzee,294
Zach Johnson,295
John Parry,295
Camilo Villegas,300
Chris Kirk,301
Roberto Castro,146
Bill Haas,146
Charley Hoffman,146
Garth Mulroy,146
Cody Gribble,146
Andy Sullivan,146
Hiroyuki Fujita,146
Marcel Siem,146
Martin Kaymer,146
Tom Hoge,147
Hunter Mahan,147
Anirban Lahiri,147
Michael Putnam,147
Timothy O'Neal,147
Jason Allred,147
Victor Dubuisson,147
Bubba Watson,147
Bernd Wiesberger,147
Wen-Chong Liang,147
David Hearn,147
Masahiro Kawamura,147
Retief Goosen,148
Alex Noren,148
Thongchai Jaidee,148
Matt Mabrey,148
Brian Harman,148
Lee McCoy (a),148
Graeme McDowell,148
Miguel Angel Jimenez,148
Russell Henley,148
Kevin Lucas,148
Jason Palmer,149
Shiv Kapur,149
Ryo Ishikawa,149
Bryson Dechambeau (a),149
Bradley Neil (a),149
Danny Willett,149
Bo Van Pelt,149
Lee Janzen,149
Ryan Moore,149
George McNeill,149
Byeong-Hun An,149
Matthew Nesmith (a),149
Tjaart van der Walt,150
Marc Leishman,150
Stephen Gallacher,150
Erik Compton,150
Jake Knapp (a),150
Tyler Duncan,150
Jared Becher,150
Steve Marino,150
Lucas Bjerregaard,150
Kyle Jones (a),150
Gunn Yang (a),150
Oliver Farr,150
Blayne Barber,151
Gary Woodland,151
Jamie Donaldson,151
Sam Horsfield (a),151
Shunsuke Sonoda,151
Brandon Hagy,151
Billy Hurley III,152
Danny Lee,152
Michael Davan,152
Brendon Todd,153
Davis Riley (a),153
Kurt Barnes,153
Rickie Fowler,154
Josh Persons,154
Richard Lee,154
Stephan Jaeger,154
Sebastian Cappelen,155
Pat Wilson,155
Rich Berberian Jr.,155
Lucas Glover,156
Tiger Woods,156
Seuk Hyun Baek,156
Darren Clarke,157
Cole Hammer (a),161
Alex Kim,166
Matt Every,78
