Homework,Midterm,Final
0.102857143,0.37962963,0
0.321122449,0.86366539,0.8275
0.974046311,0.779374202,0.6925
0.94358233,0.786079183,0.75125
0.986605062,0.796615581,0.7475
0.912428881,0.733716475,0.835
0.886414459,0.812579821,0.815
0.894571738,0.910600255,0.88125
0.985256133,0.802043423,0.82
0.909315622,0.840996169,0.8125
0.940982073,0.810344828,0.835
0.971137388,0.7899106,0.88625
0.986049784,0.804597701,0.835
0.965903693,0.837803321,0.85
0.910836624,0.900063857,0.87875
0.863691081,0.86366539,0.8775
0.955973193,0.813218391,0.89125
0.959657297,0.902618135,0.8275
0.968341658,0.858876117,0.8425
0.980467945,0.847701149,0.8725
0.941565961,0.901340996,0.845
0.949799843,0.875478927,0.925
0.957740808,0.874201788,0.86
0.943439524,0.849616858,0.8825
0.96826381,0.847701149,0.895
0.969263571,0.83844189,0.8875
0.9427165,0.885376756,0.88
0.944549832,0.876756066,0.8875
0.942770563,0.840357599,0.91
0.919732919,0.919220945,0.8825
0.965890277,0.857598978,0.895
0.951564824,0.866219668,0.8875
0.977165034,0.885376756,0.8825
0.942906815,0.892081737,0.8875
0.988855906,0.866219668,0.8975
0.961520361,0.902618135,0.8975
0.971073213,0.875478927,0.9425
0.94290857,0.946360153,0.9025
0.981379731,0.884099617,0.9425
0.995284477,0.910600255,0.9125
0.946059308,0.929757344,0.9325
0.976202346,0.893997446,0.9425
0.994395604,0.883461047,0.9575
0.959880001,0.876117497,0.9875
0.982850698,0.919220945,0.935
0.941914038,0.920498084,0.9575
1,0.927203065,0.9475
0.971164742,0.909323116,0.9725
0.975167881,0.956257982,0.935
0.995088245,0.990740741,0.955
